price,style,size,gen,gb,model,time,year,wifi,cellular,unlocked,color
299.00,Pro,2,10.5,64GB,MQDT2LL/A,,,Wi-Fi,,,Gray
199.99,ipad,6,9.7,32GB,MR7G2LL/A,,,Wi-Fi,,,Silver
199.99,ipad,2 ,,64GB,,,,Wi-Fi,,,
109.85,ipad,4,9.7,16GB,,,,Wi-Fi,,,Black
379.95,ipad,7,10.2,128GB,MW782LL/A,,,Wi-Fi,,,Silver
249.85,ipad,,9.7,32GB,,,2018,Wi-Fi,,,Gray
185.00,Mini,2,,,Mini 2 ( A1490)-16gb/Silver/Verizon-MFO75ll/A,,,,Verizon,,Silver
191.00,ipad,2017 ,,32GB,,,2017,Wi-Fi,,,Gray
172.00,ipad,5,9.7,32GB,,,,Wi-Fi,,,Gray
68.00,ipad,4,9.7,16GB,A1458,,,Wi-Fi,,Unlocked,Black
489.95,Mini,5,,256GB,,,,Wi-Fi,,,Silver
354.99,mini,4,7.9,128GB,,,,WiFi,,,Gold
190.00,ipad,,9.7,32GB,,,,Wi-Fi,,,Gray
301.99,Pro,1,9.7,128GB,,,,Wi-Fi,Cellular,Unlocked,Gray
180.00,ipad,2017 ,,32GB,,,2017,Wi-Fi,,,Gray
391.90,ipad,,10.2,128GB,,Late ,2019,Wi-Fi,,,Gold
109.99,Air,1,,32GB,,,,WiFi,,,Gray
259.00,Pro,1,9.7,128GB,,,,Wi-Fi,Cellular,Unlocked,Gray
300.00,ipad,7,10.2,128GB,,,,Wi-Fi,,,Gold
319.99,PRO,2,10.5,64GB,A1709,,,,VERIZON,,
364.47,Pro,,,64GB,,,,Wi-Fi,,,GOLD
545.00,Air,,10.5,256GB,,,,Wi-Fi,,,Gray
109.00,Air,1,9.7,32GB,MD786LL/A,,,Wi-Fi,,,Gray
229.99,Pro,1,,128GB,MLMV2LL/A,,,Wi-Fi,,,Gray
109.00,mini,2,7.9,32GB,,,,WiFi,Cellular,,Gray
135.00,ipad,5,9.7,32GB,,,,Wi-Fi,,,Gray
550.00,Air,,10.5,256GB,,,,Wi-Fi,,,Gray
299.99,ipad,7,10.2,128GB,,,,Wi-Fi,,,Silver
129.99,Air,1,9.7,32GB,MD789LL/A,,,WiFi,,,Silver
197.00,Pro,,9.7,,A1673,,,Wi-Fi,,,Silver
150.00,air,,,32GB,,,,wifi,cellular,,silver
370.80,ipad,7,,128GB,MW792LL/A,,,Wi-Fi,,,Gold
209.85,ipad,5,9.7,32GB,,,2017,Wi-Fi,,,Gray
200.00,ipad,6,9.7,32GB,,,,Wi-Fi,Cellular,,Gray
125.00,Air,,,64GB,MF010LL/A,,,Wi-Fi,Verizon,,Gray
279.99,ipad,7,10.2,32GB,,,,Wi-Fi,,,Gray
364.99,Air,,,64GB,,,,WiFi,,,Gray
349.00,Pro,,10.5,256GB,MPDY2LL/A,,,Wi-Fi,,,Gray
319.00,ipad,7,10.2,128GB,MW772LL/A,,,Wi-Fi,,,Gray
309.99,Mini,,7.9,64GB,A2133,,,Wi-Fi,,,Gray
229.00,ipad,7,,32GB,,,,Wi-Fi,,,Gray
84.99,ipad,4,9.7,16GB,,,,Wi-Fi,,,
649.00,Pro,,11,256GB,,,,WiFi,,,
247.49,ipad,7,10.2,32GB,,,,Wi-Fi,,,Gray
88.99,ipad,4 ,,16GB,MD510LL/A,,,Wi-Fi,,,Black
279.99,ipad,7,10.2,32GB,,,,Wi-Fi,4G ,Unlocked,Gold
166.25,ipad,2017 ,,32GB,,,2017,Wi-Fi,,,Gray
149.85,mini,2,7.9,32GB,,,,Wi-Fi,,,Gray
367.95,ipad,7,10.2,128GB,,,,Wi-Fi,,,Silver
1025.00,Pro,3,12.9,512GB,,,,Wi-Fi,,,Gray
269.95,ipad,7,10.2,32GB,,,,Wi-Fi,,,Gray
99.85,mini,2,7.9,16GB,,,,Wi-Fi,,,Silver
84.99,Air,1,9.7,16GB,,,,Wi-Fi,,,Silver
279.00,ipad,6,,128GB,MR7K2LL/A,,,Wi-Fi,,,Silver
113.00,Air,,,16GB,,,,WIFI,LTE,,Gray
260.00,MINI,4,,32GB,,,,WIFI,,,GOLD
159.99,Air,,9.7,64GB,MGKM2LL/A,,,,,,Silver
260.00,ipad,6,9.7,128GB,MR7J2LL/A,,,Wi-Fi,,,Gray
89.99,air,4,,32GB,,,,,,Unlocked,Black
259.97,Pro,,9.7,128GB,,,,Wi-Fi,,,Gold
164.00,Air,,,64GB,,,,,,Unlocked,Gold
240.00,mini,4,7.9,32GB,,,,Wi-Fi,,,Silver
109.00,Air,1,9.7,32GB,,,2056,WiFi,Cellular,Unlocked,Gray
229.99,ipad,6,9.7,32GB,,,,Wi-Fi,,,Gray
699.99,Pro,3,,64GB,MTXN2LL/A,,,Wi-Fi,,,Gray
149.95,Air,,9.7,16GB,MH2U2LL/A,,,Wi-Fi,4G ,Unlocked,Gray
200.00,ipad,1s,9.7,64GB,,,,Wi-Fi,Cellular,,Black
99.99,ipad,4,9.7,16GB,A1458,,,WIFI,,UNLOCKED,
369.00,Mini,,7.9,64GB,,,,Wi-Fi,,,Silver
249.85,ipad,6,9.7,32GB,,,2018,Wi-Fi,,,Gold
299.85,ipad,5,9.7,128GB,,,2017,Wi-Fi,Cellular,Unlocked,Gray
385.00,Air,,10.5,64GB,,,2019,Wi-Fi,,,Gray
